,pretrain_data,target,MSE,MAE,seed,model
282,ETTm2,ETTm1,0.3381427382599367,0.37804280202982066,2025,CoST
283,ETTm2,ETTm2,0.1581239947862626,0.2741811437050936,2025,CoST
284,ETTm2,electricity,0.17790761025545884,0.2797061620309096,2025,CoST
285,ETTm2,traffic,0.47074245849299395,0.33383975040176356,2025,CoST
286,ETTm2,exchange,0.11612753794063795,0.24499269861379713,2025,CoST
287,ETTm2,weather,0.2669955568249914,0.3557342186384062,2025,CoST
288,electricity,ETTh1,0.42945579433021,0.44350543391223723,2025,CoST
289,electricity,ETTh2,0.23126495528088523,0.33388978850938733,2025,CoST
290,electricity,ETTm1,0.3388349858249673,0.3787173891031667,2025,CoST
291,electricity,ETTm2,0.15840812102409682,0.27556339776006766,2025,CoST
292,electricity,electricity,0.16878112697952805,0.27015633983573634,2025,CoST
293,electricity,traffic,0.47280384851871216,0.32828198028593875,2025,CoST
294,electricity,exchange,0.17772986096084384,0.3071158045454568,2025,CoST
295,electricity,weather,0.23456540685168786,0.31517943900605094,2025,CoST
296,traffic,ETTh1,0.4320812206491463,0.4507893406112955,2025,CoST
297,traffic,ETTh2,0.25082868302471895,0.352532784076501,2025,CoST
298,traffic,ETTm1,0.3417693791704956,0.3843700104769333,2025,CoST
299,traffic,ETTm2,0.16769047289989603,0.2849093229861519,2025,CoST
300,traffic,electricity,0.17903403187576125,0.2855432566920361,2025,CoST
301,traffic,traffic,0.4774043493502208,0.330939062796819,2025,CoST
302,traffic,exchange,0.13011397108849032,0.2644975599701336,2025,CoST
303,traffic,weather,0.2695223627745761,0.3680170296704289,2025,CoST
304,exchange,ETTh1,0.4356680068835576,0.4501275758575799,2025,CoST
305,exchange,ETTh2,0.235098576999711,0.33842805952373683,2025,CoST
306,exchange,ETTm1,0.33997718771644436,0.37920907676172316,2025,CoST
307,exchange,ETTm2,0.15888288643075504,0.27460112900168826,2025,CoST
308,exchange,electricity,0.17684793095147502,0.27963878469458436,2025,CoST
309,exchange,traffic,0.47501183077357956,0.3374874886822643,2025,CoST
310,exchange,exchange,0.12108472388078155,0.25051823854183336,2025,CoST
311,exchange,weather,0.27040913177223613,0.36085979109161226,2025,CoST
312,weather,ETTh1,0.4347215318217372,0.44795897602100304,2025,CoST
313,weather,ETTh2,0.23410947177308128,0.33745598985066205,2025,CoST
314,weather,ETTm1,0.33846919836387246,0.3789658665406879,2025,CoST
315,weather,ETTm2,0.15794495055630037,0.27398910913544955,2025,CoST
316,weather,electricity,0.18079692507747577,0.28196620955962115,2025,CoST
317,weather,traffic,0.4743042963074542,0.3365342342369362,2025,CoST
318,weather,exchange,0.11610607159122804,0.24503723338470676,2025,CoST
319,weather,weather,0.23780773890994739,0.32480980737827564,2025,CoST
